sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Bromleys Solicitors,1,6,0,0,0,1,0
Brompton NHS Trust,1,2,3,0,1,0,0
Brook Medical Centre,1,3,3,1,0,0,0
Brooker Group Limited,1,1,1,1,0,0,0
Broomcroft House Nursing Home,1,2,1,0,0,1,0
Broomwell Health Watch LYD,1,2,0,0,0,0,1
CRG Lead Commissioner,1,2,1,0,0,1,0
CSS Telecare Service,1,3,0,0,0,1,0
CWM Taff University Board,1,1,1,1,0,0,0
Cardiff & Vale University Health Board ,1,1,1,1,0,0,0
Canary Wharf Group PLC,1,1,1,1,0,0,0
Canary Wharf Management Limited,1,1,1,1,0,0,0
Cancer Alliance,1,1,0,0,0,1,0
Cann House,1,2,0,0,0,0,1
Cannock Chase Hospital,1,2,2,1,0,0,0
Capita Business Services Ltd,1,2,2,1,0,0,0
Capita PLC,1,4,3,0,1,0,0
Capital Care Group,1,1,1,1,0,0,0
Capital Karts Trading Ltd,1,1,1,1,0,0,0
Cardiff City Council,1,2,2,1,0,0,0
CaMIS PAS,1,2,0,0,0,1,0
Cardiff Council,1,1,0,0,0,1,0
Birchill’s Health Centre,1,3,0,0,0,1,0
Cardinal Health ,1,1,1,1,0,0,0
Care Agency,1,2,2,1,0,0,0
Care First Class UK Limited,1,2,2,1,0,0,0
Care First Homes,1,1,0,0,0,0,1
Care Inn Limited,1,3,1,0,0,1,0
Billington Farm,1,3,1,0,0,1,0
Care Quality Commission (CQC),1,2,2,1,0,0,0
Canal Trust Bath,1,3,0,0,0,1,0
Canal River Trust,1,1,0,0,0,1,0
Canal & River Trust,1,1,0,0,0,0,1
Campus Living Villages,1,2,2,1,0,0,0
Cabinet Office,1,1,1,1,0,0,0
"Cabinet Office, 1 Horse Guards Road, London SW1A 2HQ",1,4,0,0,0,1,0
Cabinet Secretary for Health and Social Care,1,2,1,0,0,1,0
Cadent Gas Ltd,1,4,2,0,0,1,0
Caerphilly County Borough Council,1,1,2,0,0,1,0
Birmingham City Council ,1,1,1,1,0,0,0
Calderdale Council Highways Department,1,1,1,1,0,0,0
Calderdale Metropolitan Borough Council,1,1,1,1,0,0,0
Calderdale Royal Hospital,1,1,0,0,0,1,0
Calderdale and Huddersfield NHS Foundation Trust,1,3,1,0,1,0,0
Cambian Group,1,1,1,1,0,0,0
Cambridge County Council,1,2,2,1,0,0,0
Cambridge and Peterborough NHS Trust,1,4,0,0,0,1,0
Cambridgeshire Peterborough Integrated Care System,1,3,3,1,0,0,0
Cambridgeshire and Peterborough Clinical Commissioning Group,1,4,0,0,0,1,0
Cambridgeshire and Peterborough ICB,1,8,8,1,0,0,0
Cambridgeshire and Peterborough Integrated Care Board,1,3,3,1,0,0,0
Birmingham Children’s Hospital NHS Trust,1,5,0,0,0,1,0
Camino Healthcare,1,4,2,0,1,0,0
Birmingham Community NHS Trust,1,5,1,0,0,1,0
British Society for Haematology (BSH),1,3,3,1,0,0,0
British Retail Consortium,1,8,8,1,0,0,0
Borough Council of King’s Lynn & West Norfolk,1,4,0,0,0,1,0
Bolton Hospital NHS Trust,1,1,1,1,0,0,0
Bolton NHS Trust,1,1,1,1,0,0,0
Bombardier Transportation UK Ltd,1,6,8,0,1,0,0
Bondcare Limited,1,1,0,0,0,0,1
"Bondcare, Clarendon Care Home",1,4,0,0,0,1,0
Boomtown Festival,1,2,0,0,1,0,0
Boots UK Limted,1,3,0,0,0,1,0
Boots UK Ltd,1,2,2,1,0,0,0
Borough Care Ltd,1,1,1,1,0,0,0
Bounce Til I Die,1,1,0,0,0,1,0
Bradford Metropolitan Borough Council,1,1,0,0,0,1,0
Bourne House,1,1,0,0,0,1,0
Bournemouth Borough Council,1,1,1,1,0,0,0
Bournemouth Churches Housing Association (BCHA),1,1,1,1,0,0,0
Bournemouth International Airport Ltd,1,2,2,1,0,0,0
"Bournemouth, Christchurch and Poole Council",1,2,1,0,0,1,0
Bowden Derra Park Ltd,1,1,1,1,0,0,0
Bowmere Hospital,1,1,0,0,0,0,1
Brace Street Health Centre,1,2,1,0,1,0,0
Bracknell Forest Borough Council,1,2,0,0,0,1,0
Bolton Council Commissioning Services,1,3,0,0,0,1,0
Bolton Cares ,1,1,1,1,0,0,0
Boldmere Court Care Home,1,3,1,0,0,1,0
Boehringer Ingelheim Limited,1,1,1,1,0,0,0
Birmingham Women’s NHS Trust,1,3,0,0,0,1,0
Birnberg Peirce Solicitors,1,12,5,0,1,0,0
Black Country NHS,1,2,0,0,0,1,0
Black Country NHS Foundation Trust,1,1,0,0,0,1,0
Black Country NHS Trust,1,2,0,0,0,1,0
Black Country Pathological Service,1,2,3,0,0,1,0
Blackpool Council,1,1,1,1,0,0,0
Blackpool Teaching Hospital,1,2,0,0,0,1,0
Birmingham Women and Childrens Hospital NHS Foundation,1,1,0,0,0,1,0
Blackpool Teaching Hospitals NHS Foundation Trust ,1,1,1,1,0,0,0
Blackpool Victoria Hospital,1,1,0,0,0,1,0
Blaenau Gwent County Borough Council,1,1,1,1,0,0,0
Blatchington Mill School,1,2,0,0,0,1,0
Blenheim House Care Home,1,1,1,1,0,0,0
Bluebird Care,1,3,2,0,1,0,0
Bluebird Care (Kent),1,1,0,0,0,1,0
Boat Safety Scheme,1,1,1,1,0,0,0
Boatfolk Marinas ltd,1,2,2,1,0,0,0
Bodmin Road Health Centre,1,3,3,1,0,0,0
Bracknell Forest Council,1,3,1,0,0,1,0
Bradford Royal Infirmary,1,1,1,1,0,0,0
British Renal Society,1,5,2,0,0,1,0
British Hospitality,1,8,8,1,0,0,0
British Cardiac Intervention Society,1,2,1,0,0,1,0
British Cardiovascular Intervention Society,1,4,4,1,0,0,0
British Cardiovascular Society,1,2,1,0,1,0,0
British Chambers of Commerce,1,20,22,0,1,0,0
British Diving Safety Group,1,3,3,1,0,0,0
British Drilling Association,1,2,2,1,0,0,0
British Gliding Association,1,2,2,1,0,0,0
British Healthcare Trades Association,1,2,2,1,0,0,0
British Horseracing Authority,1,20,22,0,1,0,0
British Industrial Truck Association,1,2,0,0,0,1,0
Brainwaves,1,5,3,0,1,0,0
British Kite Surfing Association,1,1,1,1,0,0,0
British Marine,1,10,10,1,0,0,0
British Maternal and Fetal Medicine Society,1,2,1,0,0,0,1
British Mountaineering Council,1,2,2,1,0,0,0
British Oxygen,1,2,1,0,0,1,0
British Parachute Association,1,1,1,1,0,0,0
British Ports Association,1,10,10,1,0,0,0
British Precast Concrete Federation,1,1,1,1,0,0,0
British Psychological Society,1,8,1,0,1,0,0
British Board of Agreement,1,1,1,1,0,0,0
British Association of Paediatric Surgeons,1,3,3,1,0,0,0
British Association of Dermatologists,1,6,5,0,1,0,0
British Association for Counselling and Psychotherapy,1,2,2,1,0,0,0
Brake,1,7,2,0,1,0,0
Brancaster Care,1,1,1,1,0,0,0
Brecon Beacons National Park Authority,1,5,2,0,1,0,0
Bright and Hove Clinical Commissioning Group,1,3,1,0,0,0,1
Brighton and Hove Clinical Commission Group,1,3,1,0,0,1,0
Brighton and Hove Council,1,4,1,0,0,1,0
Brighton and Hove Health and Adult Social Care,1,4,1,0,0,1,0
Brighton and Hove Integrated Care Service,1,3,2,0,0,1,0
Birmingham Medical School,1,6,1,0,0,1,0
Birmingham Integrated Care Board,1,3,3,1,0,0,0
Brindaavan Care Home Limited,1,6,0,0,0,1,0
Brisdoc,1,2,0,0,0,1,0
Bristol Ambulance Emergency Medical Services,1,4,1,0,0,1,0
Bristol Clinical Commissioning Group,1,3,1,0,0,0,1
Bristol NHS Trust,1,1,0,0,0,1,0
British Aerosol Manufacturers Association,1,4,0,0,0,1,0
British Airline Pilots’ Association,1,2,1,0,1,0,0
British Airways,1,2,2,1,0,0,0
British Association Perinatal Medicine,1,4,2,0,1,0,0
"Care Quality Commission, Department of Health and Social Care",1,2,3,0,0,1,0
Care UK Limited,1,1,1,1,0,0,0
Coventry University,1,1,1,1,0,0,0
Coal Authority,1,1,1,1,0,0,0
Cleveland Police,1,2,1,0,0,1,0
Cleveland Police Roads Policing Unit,1,3,1,0,0,1,0
Clevermed Limited,1,1,1,1,0,0,0
Clifton Court Nursing Home,1,1,1,1,0,0,0
Clinical Commissioning Group for South Central and North Manchester,1,6,2,0,0,1,0
Clinical Commissioning Group for Wandsworth,1,2,1,0,0,1,0
Clinical Committee,1,6,6,1,0,0,0
Clinisys UK,1,4,0,0,0,1,0
Clough Williams-Ellis Trust,1,3,3,1,0,0,0
Coastal Homecare,1,2,0,0,0,0,1
Cleric,1,1,1,1,0,0,0
Coed Duon Care Home,1,1,1,1,0,0,0
Colchester General Hospital,1,2,0,0,0,0,1
Cole Valley Care Limited,1,1,1,1,0,0,0
Cole Valley Care Ltd,1,1,1,1,0,0,0
Collaborative Mobility UK,1,3,3,1,0,0,0
College and Society of Radiographers,1,3,2,0,1,0,0
College for Policing,1,4,2,0,1,0,0
College of Clinical Perfusion Scientists,1,4,1,0,1,0,0
College of Paramedics,1,3,3,1,0,0,0
Clevedon Medical Centre,1,1,0,0,0,1,0
Claypath and University Medical Group,1,3,4,0,1,0,0
Care UK Ltd ,1,1,1,1,0,0,0
Churchers Solicitors,1,1,0,0,0,1,0
Children’s Commissioner for Wales,1,9,8,0,1,0,0
"Children’s Services, Haringey Council",1,1,0,0,0,1,0
Chilton Care Centre,1,1,0,0,0,1,0
Chippenham Community Hospital,1,3,0,0,0,1,0
Christian Congregation of Jehova’s Witnesses,1,1,1,1,0,0,0
Church Elm Lane Medical Practice,1,1,1,1,0,0,0
Church Inn,1,1,0,0,0,1,0
Church Lane Surgery,1,2,2,1,0,0,0
Church of England,1,2,2,1,0,0,0
Circle Health Group Ltd  ,1,1,1,1,0,0,0
Clatterbridge Cancer Centre,1,1,1,1,0,0,0
City Healthcare Partnership Hull,1,6,6,1,0,0,0
City and County Healthcare Group,1,2,2,1,0,0,0
City and County of Swansea,1,3,4,0,1,0,0
City and Hackney GP Confederation,1,2,1,0,0,1,0
City of Bradford Metropolitan District Council,1,1,1,1,0,0,0
City of York Council,1,3,0,0,0,1,0
Betfair,1,3,3,1,0,0,0
Clacton Community Practices,1,1,1,1,0,0,0
Clare House Surgery,1,3,3,1,0,0,0
Berrycroft Manor Care Home,1,2,1,0,0,1,0
Collingwood Nursing Home,1,1,0,0,0,0,1
Colton Lodges Nursing Home,1,3,2,0,1,0,0
Cornwall and Isles of Scilly Safeguarding Adults Board,1,2,0,0,0,1,0
Copperfields Nursing Home,1,3,1,0,0,1,0
Corbett House Nursing Home,1,3,0,0,0,1,0
Berkshire and Surrey Pathology Services,1,2,1,0,0,1,0
Cornwall Council Local Adult Safeguarding Board,1,1,0,0,0,1,0
Cornwall County Council,1,1,0,0,0,1,0
Cornwall Health,1,3,3,1,0,0,0
Cornwall Partnership (Foundation) Trust,1,1,1,1,0,0,0
Berkeley Home Health,1,1,1,1,0,0,0
Cornwall Partnershipship NHS Trust,1,1,1,1,0,0,0
Coronary Heart Disease Review,1,4,0,0,0,1,0
Comfort Call Limited,1,1,1,1,0,0,0
Coronary Heart Disease Review’s Clinical Advisory Panel,1,4,0,0,0,1,0
Council of Psychotherapy,1,5,3,0,1,0,0
Counsellor,1,2,2,1,0,0,0
Countrywide Care Homes,1,2,1,0,0,1,0
County Durham & Darlington NHS Foundation Trust ,1,1,1,1,0,0,0
Berger Primary School,1,1,1,1,0,0,0
"County Durham and Darlington NHS Trust, Grosvenor Park Care Home",1,2,2,1,0,0,0
County Hospital Stafford ,1,1,1,1,0,0,0
Coventry NHS Trust,1,1,0,0,0,1,0
Consumer Relations and Legal Affairs,1,2,0,0,0,1,0
"Consultant Psychiatrist, Keats House, London",1,2,1,0,1,0,0
Consultant Physician and Gastroenterologists,1,2,0,0,0,0,1
Consular Feedback Team,1,1,0,0,0,1,0
Comish Way Group Practise,1,1,1,1,0,0,0
Commissioner for Highways,1,1,2,0,0,1,0
Commissioner for Transport,1,2,0,0,0,1,0
"Commissioning and Operations, Centra Midlands NHS",1,3,3,1,0,0,0
Community Mental Health Recovery Services,1,1,1,1,0,0,0
Community Mental Health Team,1,1,0,0,0,1,0
Community Nurse Locality Team Lead,1,1,1,1,0,0,0
Community Pharmacy England,1,8,9,0,1,0,0
Company Chemists’ Association,1,4,4,1,0,0,0
Compliance Manager,1,2,0,0,0,1,0
Compton Lodge Care Home,1,3,3,1,0,0,0
Confederation of British Industry,1,20,22,0,1,0,0
Congenital Heart Services Clinical Reference Group,1,4,0,0,0,1,0
Connaught House Care Home,1,2,3,0,1,0,0
Connect Plus (M25) Limited,1,3,3,1,0,0,0
Connectivity and Environment,1,1,1,1,0,0,0
Constable of Lincolnshire,1,1,0,0,0,1,0
Construction Industry Council,1,1,1,1,0,0,0
Construction Plant Hire Association,1,2,1,0,0,1,0
Child and Adolescent Mental Health Service East Cross Street Clinic,1,2,0,0,0,1,0
Chief Probation Officer for England and Wales,1,4,3,0,1,0,0
Chief Probation Officer,1,3,3,1,0,0,0
Central and North West London Mental Health Trust,1,3,1,0,0,1,0
Central & North West London NHS NHS Trust,1,5,2,0,0,1,0
Central Bedfordshire Council,1,1,1,1,0,0,0
Central England Co-operative,1,2,2,1,0,0,0
Bexley Social Services,1,4,4,1,0,0,0
Central Medical Services,1,1,0,0,0,0,1
Betsi Cadwaladr University NHS Trust,1,1,0,0,0,1,0
Central Northwest London NHS Foundation Trust,1,1,0,0,0,1,0
Central Surgery,1,1,1,1,0,0,0
Central and North West Hospital NHS Trust,1,3,2,0,0,0,1
Betsi Cadwaladr University Health Board (BCUHB) ,1,1,1,1,0,0,0
Chartered Institution of Waste Management,1,4,4,1,0,0,0
Ceredigion County Council,1,2,2,1,0,0,0
Chair of Association of Ambulance Chief Executives,1,4,0,0,0,1,0
Chalfont Road Surgery,1,2,0,0,0,1,0
Change Glow Live,1,3,1,0,0,1,0
Change Grow Live,1,2,0,0,0,1,0
Change Grow Live (Surrey and Borders NHS Trust),1,5,3,0,0,1,0
Channel Swimming Pilot Federation,1,2,2,1,0,0,0
Charing Healthcare,1,1,1,1,0,0,0
Charity Commission for England and Wales,1,9,8,0,1,0,0
Central & North West London NHS Foundation Trust,1,5,0,0,0,0,1
Centra Support,1,1,1,1,0,0,0
Cedar Care Home,1,2,1,0,0,1,0
Cator Medical Centre,1,4,1,0,0,1,0
Care UK ,1,1,1,1,0,0,0
Care4U Healthcare ,1,1,0,0,0,1,0
Careline365,1,2,0,0,0,1,0
Caremark (Chiltern & Tree Rivers)  ,1,1,1,1,0,0,0
Carewatch,1,1,0,0,0,1,0
Careworld London Limited,1,2,2,1,0,0,0
Carillion,1,2,3,0,0,0,1
Caring Homes Healthcare Group Limited,1,2,1,0,0,1,0
Caring UK,1,1,0,0,0,0,1
Carlsberg Supply Co Ltd,1,1,1,1,0,0,0
Carlton House Rest Home,1,2,0,0,0,1,0
Carmarthenshire County Council County Hall,1,2,0,0,0,1,0
Carralejo Fuerteventura,1,1,0,0,0,1,0
Carrington Doors,1,1,0,0,0,1,0
Castle Rock Group,1,2,1,0,1,0,0
Castlefields Health Centre,1,2,0,0,0,1,0
Castlegate & Derwent Surgery,1,1,1,1,0,0,0
Caterlink,1,4,2,0,1,0,0
Catholic Standards Safeguarding Agency,1,2,2,1,0,0,0
Chartered Institute of Highways and Transportation,1,2,0,0,0,1,0
Chartered Insurance Institute,1,7,2,0,1,0,0
"Chief Nursing Officer, NHS North-East London Integrated Care Board",1,2,0,0,0,1,0
Chief Executive of the Nursing and Midwifery Council (NMC),1,4,0,0,0,0,1
Chief Executive Of Velindre University Nhs Trust,1,2,1,0,0,1,0
"Chief Executive Officer, Barts Health NHS Foundation",1,2,1,0,0,1,0
Chief Executive Oldham Borough Council,1,4,3,0,0,1,0
Chief Executive Pennine Care NHS Foundation Trust,1,4,3,0,0,1,0
Chief Executive Whittington Health NHS Trust Whittington Hospital ,1,1,0,0,0,1,0
Chief Executive of Dorset Healthcare University NHS Foundation Trust (DHUFT),1,4,0,0,0,0,1
Chief Executive of National Institute for Health and Care Excellence (NICE),1,4,0,0,0,0,1
Chief Executive of Worcestershire County Council,1,1,0,0,0,1,0
Chief Executive of the General Medical Council (GMC),1,4,0,0,0,0,1
Chief Executive – Hull Royal Infirmary,1,1,0,0,0,1,0
Chartered Trading Standards Institute,1,4,3,0,1,0,0
"Chief Executive, CQC",1,5,4,0,0,1,0
"Chief Executive, Care Quality Commission,",1,2,1,0,0,1,0
"Chief Executive, Integrated Care Board",1,5,4,0,0,1,0
"Chief Executive, Rotherham Metropolitan Borough Council",1,2,1,0,0,1,0
Chief Fire Officer,1,1,0,0,0,1,0
Chief Fire Officers Association,1,12,5,0,1,0,0
Chief Fire and Rescue Officer,1,1,1,1,0,0,0
Chief Medical Officer for North West Anglia Foundation Trust,1,1,0,0,0,1,0
Chief Midwife,1,5,4,0,1,0,0
Chief Executive Of Aneurin Bevan University Health Board,1,2,1,0,0,1,0
Chief Executive North West Ambulance Service,1,4,3,0,0,1,0
Chief Executive Hertfordshire County Council,1,1,1,1,0,0,0
Chief Executive Health Education,1,4,3,0,0,1,0
Chelsea & Westminster Hospital,1,1,1,1,0,0,0
Chelsea and Westminster Hospitals NHS Trust,1,1,0,0,0,1,0
Chelsea and Westminster NHS Foundation Trust,1,3,2,0,1,0,0
Chelsfield Surgery,1,1,1,1,0,0,0
Chemical Business Association,1,3,0,0,0,1,0
Cherish Home Care,1,1,1,1,0,0,0
Cherry Orchard Nursing Home,1,1,0,0,0,1,0
Cheshire Constabulary ,1,1,1,1,0,0,0
Cheshire Council,1,2,0,0,0,0,1
Cheshire Fire and Rescue,1,4,0,0,0,1,0
Cheshire Police,1,3,1,0,0,1,0
Cheshire West and Chester Council,1,1,0,0,0,1,0
Cheshire Wirral Partnership,1,3,2,0,1,0,0
Cheshire and Merseyside Integrated Care Board,1,13,13,1,0,0,0
Chester Hospital NHS Trust,1,2,0,0,1,0,0
Chesterfield Borough Council,1,1,1,1,0,0,0
Chief Constable Greater Manchester Police,1,4,3,0,0,1,0
Chief Constable of Warwickshire Police,1,1,1,1,0,0,0
Chief Coroner of England and Wales,1,2,1,0,0,1,0
Greater Manchester Health and Social Care Partnership/Integrated Care Board,1,4,4,1,0,0,0
Barchester Healthcare Ltd ,1,1,2,0,0,1,0
New Park Residential Home,1,2,1,0,0,1,0
Marble Ideas Ltd,1,1,1,1,0,0,0
Manchester Royal Infirmary,1,2,0,0,0,1,0
Manchester United Football Club,1,3,3,1,0,0,0
Manchester University Foundation Trust (MFT),1,2,2,1,0,0,0
Avon and Wiltshire Mental Health Partnership Trust,1,4,3,0,1,0,0
Mandeville Grange Nursing Home  ,1,1,1,1,0,0,0
Manor Field Surgery,1,1,1,1,0,0,0
Manor Park Residential Home,1,1,0,0,0,1,0
Mansfield District Council,1,1,1,1,0,0,0
Mansfield and Ashfield Clinical Commissioning Group,1,7,2,0,1,0,0
Maria Mallaband Care Group,1,2,1,0,0,1,0
Manchester Medical Service,1,4,2,0,1,0,0
Marine Lake Medical Practice,1,1,1,1,0,0,0
Maritime & Coastguard Agency,1,1,1,1,0,0,0
Marks and Spencer,1,1,1,1,0,0,0
Martin-Baker,1,1,0,0,0,1,0
Masta Limited,1,1,2,0,0,1,0
Maurice Mason Ltd,1,1,1,1,0,0,0
Mayday Group,1,1,1,1,0,0,0
Mayday Health Care Plc,1,1,1,1,0,0,0
Mayfield Care Home,1,6,0,0,0,1,0
Manchester Police,1,1,1,1,0,0,0
Manchester Airport Group,1,4,2,0,0,1,0
Mid Cheshire NHS Trust,1,1,0,0,0,0,1
Avon and Wiltshire NHS Trust,1,1,1,1,0,0,0
MAC Skip Hire Limited,1,1,0,0,0,1,0
MAPP,1,2,0,0,0,0,1
MHRA,1,5,4,0,1,0,0
Axminster Medical Practice,1,2,2,1,0,0,0
MHRA ,1,1,1,1,0,0,0
MHSC,1,4,0,0,0,1,0
MIRUS Wales,1,1,1,1,0,0,0
MITIE,1,3,3,1,0,0,0
MJ Events,1,2,1,1,0,0,0
MPS Investments Ltd,1,2,0,0,0,1,0
"Managing Director, Sussex Medical Chambers",1,5,4,0,0,1,0
MRHA,1,1,0,0,0,1,0
Macklin Street Surgery,1,4,3,0,1,0,0
Macmillan Cancer Support,1,3,2,0,0,1,0
1 [REDACTED],1,1,1,1,0,0,0
Magenta Living Support Link,1,1,1,1,0,0,0
Major retailers of e-scooters,1,5,10,0,1,0,0
Malhorta Group,1,2,1,0,0,1,0
"Managing Director 
Northern Railway  
5th Floor 
Northern House 
9 Rougier Street  
York 
YO1 6HZ ",1,1,0,0,0,1,0
Managing Director of Cegedim,1,3,2,0,1,0,0
Maylands Health Care,1,4,0,0,0,1,0
Maylands Healthcare Surgery,1,4,0,0,0,1,0
Meadbank Care Home,1,2,1,0,0,0,1
Merthyr Tydfil County Borough Council ,1,1,1,1,0,0,0
Avery Healthcare,1,2,1,0,1,0,0
Medway Youth Offending Team,1,5,5,1,0,0,0
Melbourne Ambulance Station,1,2,0,0,0,1,0
Mental Health Directorate,1,1,0,0,0,1,0
Mercedes-Benz,1,2,2,1,0,0,0
Merlin Entertainment Limited,1,2,0,0,0,1,0
Mersey Care NHS Trust,1,2,0,0,1,0,0
Merseyside Passenger Transport Authority,1,1,1,1,0,0,0
Merthyr Tydfil County Borough Council,1,1,1,1,0,0,0
Meta Platforms,1,5,5,1,0,0,0
Meade Close Care Home,1,4,2,0,1,0,0
Metalchem Ltd,1,3,3,1,0,0,0
Metropolis,1,3,0,0,0,0,1
Avenue House Nursing and Care Home,1,4,1,0,0,0,1
Auto Cycle Union,1,2,1,0,1,0,0
Metropolitan Police Service (MPS),1,1,1,1,0,0,0
Metropolitan Police Service ,1,1,1,1,0,0,0
MiHomecare,1,1,1,1,0,0,0
Audlem Medical Practice,1,1,1,1,0,0,0
Mid & South Essex NHS Trust ,1,1,1,1,0,0,0
Medway Council,1,1,1,1,0,0,0
Medway Community Healthcare,1,1,0,0,0,1,0
Medico Legal Manager,1,2,1,0,0,0,1
Avery Healthcare Group,1,1,1,1,0,0,0
Meanwood Group Practice  ,1,1,1,1,0,0,0
MedPure Healthcare,1,1,1,1,0,0,0
Medica Reporting Ltd,1,2,2,1,0,0,0
Medica Reporting Service,1,1,1,1,0,0,0
Medical Care Council,1,3,1,0,0,1,0
Medical Centre Stalybridge,1,4,2,0,0,0,1
"Medical Director, Leeds Teaching Hospitals, NHS Trust",1,2,1,0,0,1,0
Medical Engineer,1,3,3,1,0,0,0
Medical Officer Welsh Government,1,2,2,1,0,0,0
Medical Protection Society,1,3,0,0,0,1,0
Medical Research Council,1,6,5,0,0,1,0
Medical Schools Council,1,6,5,0,0,1,0
Medicine and Health Care Products Regulatory Agency,1,1,0,0,0,0,1
Avon and Salisbury Constabulary,1,2,2,1,0,0,0
Avon Care Home Limited,1,1,1,1,0,0,0
Medicines UK,1,3,0,0,0,1,0
Medicines and Health Regulatory Authority,1,4,4,1,0,0,0
Medicines and Healthcare Products Regulatory Agency (MHRA),1,2,0,0,0,1,0
Medicines and Healthcare Projects Regulation Authority,1,4,4,1,0,0,0
M C Federation,1,2,1,0,1,0,0
M & S Water Services,1,2,2,1,0,0,0
Lynmere Nursing home,1,1,1,1,0,0,0
Lincolnshire Community Health Services,1,3,0,0,0,1,0
Level Crossing and Public Safety,1,2,0,0,0,0,1
Lifeshield Medical Services Limited,1,1,1,1,0,0,0
Lifeskills,1,2,2,1,0,0,0
Lifestar Medical Limited,1,3,0,0,0,1,0
Lifestyle Care PLC,1,1,1,1,0,0,0
Lifeway Care Ltd ,1,1,1,1,0,0,0
Liftmaster Servicing,1,8,0,0,0,1,0
Lightwater Quarries Limited,1,1,1,1,0,0,0
Lime Tree Surgery,1,1,1,1,0,0,0
BARDOC,1,2,2,1,0,0,0
Little Trethew Horningtops,1,2,2,1,0,0,0
Lincolnshire East Clinical Commissioning Group,1,2,0,0,0,1,0
Lincolnshire Hospitals NHS Trust,1,1,1,1,0,0,0
Lincolnshire Integrated Care Board,1,1,1,1,0,0,0
BARCHESTER HEALTHCARE LIMITED ,1,1,1,1,0,0,0
Lincs Firwood Co Ltd,1,2,1,0,0,1,0
Linden House Surgery,1,5,3,0,0,1,0
Linden Medical Group – Stapleford Care Centre,1,3,0,0,0,1,0
Lisson Grove Health Centre,1,2,1,0,0,0,1
Lister House Oakwood,1,1,1,1,0,0,0
Leonard Cheshire,1,1,1,1,0,0,0
Leigh NHS Foundation Trust,1,5,3,0,1,0,0
Leicestershire and Rutland Integrated Care Board,1,1,1,1,0,0,0
BLMK Integrated Care Board,1,3,3,1,0,0,0
Lawn Tennis Association,1,20,22,0,1,0,0
Lean on Me Care Agency,1,1,1,1,0,0,0
Learning Together Network CIC,1,10,9,0,1,0,0
BMI Health Care,1,1,0,0,0,1,0
Leeds City Council Highways Department,1,1,1,1,0,0,0
Leeds City Council ,1,1,1,1,0,0,0
Leeds Community Healthcare NHS Trust,1,2,2,1,0,0,0
Leeds Martial Arts College,1,1,0,0,0,1,0
Leeds Survivor-Led Crisis Service (Leeds OASIS),1,2,0,0,0,1,0
Leeds Teaching Hospitals,1,3,4,0,1,0,0
BMA and RCGP,1,5,6,0,1,0,0
Leeds Teaching hospitals and York Hospital Legal trust,1,1,2,0,0,1,0
Leeds and Yorkshire Partnership Foundation Trust (Intensive Supportive Service),1,2,0,0,0,1,0
Leek Health Centre,1,3,1,0,0,1,0
Leicester Campaign Cycling Group,1,2,1,0,1,0,0
Leicester NHS Trust,1,1,1,1,0,0,0
Leicestershire County Council,1,1,1,1,0,0,0
Leicestershire County Council ,1,1,1,1,0,0,0
Leicestershire Local Safeguarding Board,1,4,2,0,1,0,0
Litch Care for Action,1,2,1,0,0,1,0
Littleborough Care Home,1,4,0,0,0,1,0
Luton Community Housing Ltd,1,1,0,0,0,0,1
London’s Air Ambulance,1,2,1,0,0,1,0
London Borough of Wandsworth,1,1,0,0,0,1,0
London Bridge Hospital,1,5,3,0,0,0,1
London Central & West Unscheduled Care Collaborative,1,12,9,0,1,0,0
Ayurvedic Professionals Association,1,4,2,0,1,0,0
London Fire Brigade (LFB),1,18,5,0,1,0,0
London Metropolitan Police ,1,1,1,1,0,0,0
London North Western Railways,1,1,1,1,0,0,0
London Royal Borough of Greenwich,1,2,1,0,0,0,1
London and South Eastern Railway,1,1,1,1,0,0,0
Long Furlong Medical Centre,1,1,0,0,0,1,0
LivaNova UK Limited ,1,1,2,0,0,1,0
Longshoot Health Centre,1,1,0,0,0,1,0
Longton Police Station,1,2,0,0,0,1,0
Low Moor Medical Practice,1,1,1,1,0,0,0
Lower Clapton Group Practice,1,1,1,1,0,0,0
Ludlow Street Healthcare,1,1,2,0,0,0,1
Lukka Care Homes Limited ,1,1,1,1,0,0,0
Lundbeck Limited,1,4,4,1,0,0,0
Luton & Dunstable NHS Trust,1,1,0,0,0,1,0
Luton & Dunstable University Hospital NHS Trust,1,2,2,1,0,0,0
London Borough of Waltham Forest,1,4,4,1,0,0,0
London Borough of Richmond upon Thames,1,18,5,0,1,0,0
London Borough of Lewisham Adult Care Services,1,2,1,0,0,1,0
London Borough of Islington,1,5,0,0,0,1,0
Liverpool Heart and Chest Hospital NHS Trust,1,2,2,1,0,0,0
Liverpool Womens Hospital,1,1,1,1,0,0,0
Livewell South West,1,1,1,1,0,0,0
Local Authority for Stoke on Trent,1,2,1,0,0,1,0
Local Health Board,1,3,4,0,1,0,0
Local Pharmacy Commission,1,8,9,0,1,0,0
Locala,1,9,5,0,1,0,0
Lockfield Surgery,1,2,1,0,0,1,0
Lodge Road Surgery,1,2,0,0,0,1,0
B & D Civil Engineering Limited,1,2,2,1,0,0,0
London Borough Hackney,1,2,2,1,0,0,0
London Borough of Barking and Dagenham,1,18,5,0,1,0,0
